,Predicted_PCE,Predicted_FF,Predicted_Voc,Predicted_Jsc
187,4.7413673,50.001774,0.9899789,9.620331
188,7.998746,66.989174,0.7600058,15.19668
189,7.1797953,44.000893,0.38008153,42.32441
190,5.511385,52.99923,0.7800021,13.39702
191,7.165109,62.91623,0.79060704,14.4001
192,6.7514215,58.21225,0.80502516,14.399781
193,7.659235,56.403423,0.8213736,16.5002
194,16.357058,68.97379,1.1084691,20.74857
195,5.0404654,58.78506,0.5530323,15.510479
196,6.2146726,64.85227,0.59294593,16.003551
197,8.229364,65.001564,0.8799934,14.250854
198,9.427632,68.65562,0.8100018,15.559882
199,25.000261,78.599335,1.7798938,17.808985
200,25.993404,76.6018,1.7698971,19.21968
201,5.8008013,56.998417,0.9500037,10.800069
202,4.539658,54.4966,0.8899919,9.33408
203,1.6236358,40.29791,0.81999993,4.7219076
204,15.018342,73.78818,1.0999627,18.542513
205,14.730137,68.981316,1.0799302,19.426044
206,14.005386,72.86332,1.009985,19.21069
207,1.5411367,53.80648,0.89999205,2.179235
208,10.800229,56.00099,0.5600292,34.400417
209,4.8977485,71.00088,0.6350189,10.860856
210,5.7142725,69.99005,0.680013,12.638348
211,6.598136,68.980446,0.6810115,14.415287
212,0.50272363,47.408142,0.5000449,1.7999523
213,1.4138266,70.50037,0.74000716,2.710231
214,21.902134,79.29094,1.1899246,23.310518
215,0.27206278,41.000034,0.6724069,0.9961158
216,0.49002436,68.00035,0.67001516,1.0665898
217,1.089956,57.999187,0.680013,2.7681081
218,1.2409699,60.011784,0.6810115,3.2278552
219,1.8314545,59.00217,0.70900553,4.401133
220,1.7255629,51.998154,0.7060792,2.8921704
221,8.621838,70.65103,0.74000716,16.270144
222,8.586112,71.20296,0.87032276,13.84097
223,7.5138173,67.00047,0.7988105,14.0486765
224,7.254481,67.19497,0.91202885,11.831613
225,7.5488896,65.80193,0.9475168,12.100402
226,10.704546,69.21449,0.93199015,16.589872
227,6.6810017,81.99881,1.2096717,6.7197213
228,8.670152,84.0,1.3799107,7.4816155
229,6.261179,68.999016,0.76099086,11.959654
230,0.85032886,46.000237,0.58002824,3.1500592
231,1.8085766,49.0079,0.58002824,5.592443
232,21.191952,80.76035,1.1099602,23.688587
233,16.477962,80.773506,0.9099916,21.755123
234,2.6511512,62.993664,0.8100018,7.9801517
235,11.603689,68.810295,0.979992,17.500103
236,9.091421,62.219837,0.979992,14.901309
237,8.970689,65.09204,0.979992,15.406504
238,2.0775633,42.90521,0.7600058,6.368187
239,1.8112309,41.149982,0.720009,6.151014
240,1.7980951,42.787174,0.7000117,6.00143
241,1.6204569,42.397373,0.7000117,5.4794083
242,19.857248,79.82389,1.129882,22.100197
243,19.847881,79.40283,1.1099602,22.519203
244,19.963873,78.77373,1.1199586,22.654112
245,5.6067085,68.897446,0.680013,12.360969
246,2.720815,33.999474,0.7554301,10.127493
247,4.4784546,60.1587,0.9199874,8.176101
248,0.4610237,59.595913,0.66001713,1.5098712
249,2.1501641,59.593605,0.66001713,5.4602194
250,7.367924,62.02843,0.8000006,14.870717
251,0.59048635,35.996468,0.9099916,1.919962
252,0.14083526,31.999878,0.9400234,0.48010135
253,10.156366,70.60135,0.7933264,18.978569
254,1.0762136,47.99415,0.8899919,1.4200261
255,5.6201587,62.254272,0.82999724,10.839908
256,1.0853145,31.990953,0.76999956,4.1045218
257,4.8331428,59.223866,0.79000247,10.329612
258,3.2429907,41.106934,0.8000006,9.890035
259,3.29091,61.192455,0.76999956,7.0175023
260,9.050671,67.99936,0.8061955,13.492649
261,5.2807426,60.16348,0.86999446,10.042135
262,9.531772,71.998566,0.7230072,18.251932
263,9.221538,72.99927,0.7370083,17.180162
264,9.355356,71.999535,0.7230072,17.99044
265,9.777907,73.99972,0.75725937,17.761526
266,8.986301,74.010216,0.7672244,16.450285
267,9.25128,74.99997,0.7730233,15.719064
268,5.821481,67.60129,0.6300172,13.650658
269,15.097804,67.48969,0.82999724,26.880043
270,1.8028804,49.019463,0.41007692,8.300666
271,2.9978108,47.99721,0.4600563,13.700795
272,4.91109,67.999405,0.5500325,13.120419
273,5.5606813,65.002815,0.58002824,14.809314
274,6.7016673,72.000175,0.58002824,16.120352
275,3.410731,67.47635,0.6300172,8.217721
276,3.6967316,66.90379,0.6200192,8.9196615
277,3.9600828,66.79978,0.6300172,9.399958
278,6.0523224,65.9008,0.7600058,12.064998
279,6.31301,65.9994,0.7500048,12.750078
280,6.550206,67.09985,0.7600058,12.833978
281,17.811583,76.05602,0.8619925,27.005844
282,4.101359,60.00029,0.590025,11.599334
283,22.449537,81.99822,1.1450737,24.209057
284,6.2210417,55.060955,0.74603194,15.140562
285,6.51088,55.75906,0.7510082,15.547187
286,8.690571,66.03733,0.7510082,17.520403
287,7.5208683,66.7546,0.7510082,15.080277
288,8.407927,50.59244,0.8899919,18.742208
289,9.487919,51.25802,0.8799934,22.158976
290,5.8617854,43.375328,0.9199874,14.1184435
291,6.9003057,46.990047,0.89999205,16.18003
292,4.7113776,65.706345,0.7031301,10.201294
293,1.2002233,24.470709,0.66001713,7.4311237
294,5.8012605,61.544518,0.79000247,11.908198
295,6.154726,66.92512,0.79000247,11.65072
296,5.2571735,63.999115,0.9099916,9.029907
